"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C11,C7,C19,C3,C1,C12,C20,C8,C17,C2";"CP_Radial_D5.0mm_P2.50mm";10;"10u/16V";;;
2;"L1";"L_7.3x7.3_H4.5";1;"100uH";;;
3;"R16,R17,R1,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k";;;
4;"C15,C16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"33p";;;
5;"J3";"USB_B_Lumberg_2411_02_Horizontal";1;"USB_B";;;
6;"C6,C4,C9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100n";;;
7;"R13,R12,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1M";;;
8;"D2";"D_MiniMELF";1;"LL4148";;;
9;"D3,J4";"PinHeader_1x02_P2.54mm_Vertical";2;"PTT";;;
10;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
11;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"IN_R";;;
12;"R7,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"22";;;
13;"R11,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"330";;;
14;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"R_EN";;;
15;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.2";;;
16;"C5,C10,C13,C18,C14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"1u";;;
17;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
18;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"IN_L";;;
19;"U1,U2";"SO-8_3.9x4.9mm_P1.27mm";2;"LM358";;;
20;"R4,R18,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
21;"Q1";"TO-92_Inline";1;"BS170";;;
22;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.5k";;;
23;"RV1,RV2";"PinHeader_1x03_P2.54mm_Vertical";2;"10k";;;
24;"D1";"PinHeader_1x02_P2.54mm_Vertical";1;"POWER";;;
25;"U3";"SSOP-28_5.3x10.2mm_P0.65mm";1;"PCM2902";;;
26;"Y1";"Crystal_HC49-4H_Vertical";1;"12MHz";;;
27;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"OUT";;;
